Product,SerialNumberPattern,flag_keep,partial_flag,eligible_for_expand
PDU,0,TRUE,FALSE,FALSE
PDU,10,TRUE,FALSE,TRUE
PDU,98,TRUE,FALSE,TRUE
PDU,110,TRUE,TRUE,TRUE
PDU,111,TRUE,TRUE,TRUE
PDU,112,TRUE,TRUE,TRUE
PDU,118,TRUE,TRUE,TRUE
PDU,120,TRUE,TRUE,TRUE
PDU,130,TRUE,TRUE,TRUE
PDU,150,TRUE,TRUE,TRUE
PDU,170,TRUE,TRUE,TRUE
PDU,210,TRUE,TRUE,TRUE
PDU,351,TRUE,TRUE,TRUE
PDU,370,TRUE,TRUE,TRUE
PDU,16108-03,TRUE,,-
PDU,17233-1,TRUE,FALSE,-
PDU,19979-03,TRUE,FALSE,-
PDU,210-0014-1,TRUE,FALSE,-
PDU,30-1064,TRUE,FALSE,-
PDU,pp134225g6410,TRUE,FALSE,FALSE
PDU,t,TRUE,FALSE,FALSE
PDU - Primary,350,TRUE,FALSE,TRUE
PDU - Primary,360,TRUE,FALSE,TRUE
PDU - Secondary,420,TRUE,FALSE,TRUE
PDU - Secondary,422,TRUE,FALSE,TRUE
PDU - Secondary,440,TRUE,FALSE,TRUE
PDU - Secondary,442,TRUE,FALSE,TRUE
PDU - Secondary,450,TRUE,FALSE,TRUE
PDU - Secondary,451,TRUE,FALSE,TRUE
PDU - Secondary,452,TRUE,FALSE,TRUE
Reactor,54,TRUE,FALSE,TRUE
RPP,180,TRUE,TRUE,TRUE
RPP,185,TRUE,TRUE,TRUE
RPP,186,TRUE,TRUE,TRUE
RPP,187,TRUE,TRUE,TRUE
RPP,189,TRUE,TRUE,TRUE
RPP,0000026XX-0820,FALSE,FALSE,TRUE
RPP,f180,TRUE,FALSE,TRUE
RPP,onymg,TRUE,FALSE,FALSE
RPP,onympg,TRUE,FALSE,FALSE
RPP,onypmg,TRUE,FALSE,FALSE
RPP,onyxpmg,TRUE,FALSE,FALSE
RPP,oxypmg,TRUE,FALSE,FALSE
RPP,rpp19342,TRUE,FALSE,TRUE
STS,410,TRUE,TRUE,TRUE
STS,411,TRUE,TRUE,TRUE
STS,441,TRUE,TRUE,TRUE
STS,14400004,TRUE,FALSE,TRUE
STS,00000526X-3421,FALSE,FALSE,FALSE
STS,STS,TRUE,FALSE,TRUE
STS,430,TRUE,FALSE,TRUE
STS,1400016,TRUE,FALSE,TRUE
RPP,187,TRUE,FALSE,TRUE
STS,460,TRUE,FALSE,TRUE
PDU,18-,TRUE,FALSE,FALSE
